intra2,intra3,intra4,intra5,inter1,inter2,inter3,runtime,size,inter_num
0.08488210480702328,0.0842100225489161,0.21813869616852266,2.0279019801980196,0.048235327268617234,0.047646597315122274,0.29154488448844895,0.1321725845336914,5,Intra 5 + Inter 1
0.10595539197402999,0.10767178792674352,0.23812906972870865,2.3527039603960396,0.018766299104551715,0.01859456544623503,0.18917772277227718,0.15458035469055176,5,Intra 5 + Inter 2
0.09392247954783986,0.09507976897991466,0.22446692853008338,2.1577495049504947,0.02617204621741201,0.025903569241475077,0.21428366336633664,0.05436873435974121,5,Intra 5 + Inter 3
0.08975330391950373,0.09102355104354712,0.2224322784345952,2.137039603960396,0.21227898009727741,0.2282394485850141,0.6092087458745875,0.03619265556335449,5,Sühr et al. 2019
0.11174325450293532,0.11700417123006317,0.2587753003728367,2.186681188118812,0.02614254579307565,0.02587447003344845,0.20125594059405938,0.1392679214477539,5,Intra 5 + Inter 1
0.07539201602606874,0.07519348707862587,0.20401214101459808,1.9627613861386137,0.021404911916817843,0.021199714827142863,0.20072161716171633,0.19518303871154785,5,Intra 5 + Inter 2
0.08765214456629619,0.08785338614130503,0.22152605859585986,2.1230227722772277,0.0023165841413150118,0.002307755102395434,0.06626006600660084,0.05008649826049805,5,Intra 5 + Inter 3
0.09580765756692176,0.0983140087259619,0.23207811542336254,2.154761386138614,0.000815246368858609,0.0008133383860719837,0.037714191419141674,0.03716850280761719,5,Sühr et al. 2019
0.12330587433781841,0.13253063123620165,0.2728420324571654,2.228560396039604,0.03867429603928757,0.038228060609777514,0.24362986798679875,0.11183691024780273,5,Intra 5 + Inter 1
0.10072076445766251,0.10259798371634084,0.2406265614443979,2.1593851485148514,0.014460512740216425,0.01434034316929389,0.1527389438943897,0.14977216720581055,5,Intra 5 + Inter 2
0.09367736534381196,0.09493095601291415,0.2286228876356188,2.0968861386138613,0.01914684161559571,0.01897036075217723,0.17576650165016516,0.04527139663696289,5,Intra 5 + Inter 3
0.11214270113806393,0.1128891849924715,0.25126723504594056,2.347763366336634,0.2945834723991163,0.32342296025226247,0.6957191419141915,0.03583550453186035,5,Sühr et al. 2019
0.09329350015883311,0.09615270597110544,0.2330592632018595,2.116860396039604,0.001027727657650676,0.001030716975056148,0.042852640264026576,0.11447310447692871,5,Intra 5 + Inter 1
0.07314886157116182,0.0732267665663827,0.20619397965657554,1.855219801980198,0.04712922482506515,0.04655714066015382,0.2813843234323433,0.14094758033752441,5,Intra 5 + Inter 2
0.09810246912613271,0.10020641642212458,0.24126704852002523,2.1134801980198024,0.0011652644519695096,0.0011620356548030994,0.04349092409240918,0.050931453704833984,5,Intra 5 + Inter 3
0.06670658728742164,0.0668495832570316,0.19141638213330048,1.8356425742574256,0.010325361912151998,0.01025014786509576,0.13808300330033008,0.06441497802734375,5,Sühr et al. 2019
0.09273188733258503,0.09394279742782934,0.22767064629213343,2.1050772277227727,0.0011387500810092627,0.00113562871931569,0.0433029702970299,0.13503527641296387,5,Intra 5 + Inter 1
0.09249994488213811,0.09480251176349441,0.22711624181418194,2.0828752475247523,0.028324036435890765,0.028026010367013104,0.21663415841584155,0.17534899711608887,5,Intra 5 + Inter 2
0.08226063687969135,0.08326785247267213,0.2215233658619333,1.9374178217821783,0.01297512552698657,0.012871692207936297,0.14622178217821802,0.046517133712768555,5,Intra 5 + Inter 3
0.12218185310453807,0.12581721955290123,0.2601100289315942,2.4172316831683176,0.03867686900800105,0.03823059577556337,0.25524471947194716,0.03536391258239746,5,Sühr et al. 2019
0.06518485341902547,0.06517191105336853,0.18954520285313414,1.8178742574257427,0.013888597344577508,0.013774942958993008,0.16064290429042904,0.15116381645202637,5,Intra 5 + Inter 1
0.11763589380807138,0.1232016888269227,0.26688670877132764,2.2961346534653466,0.0015846506276685976,0.0015795811009942998,0.05511419141914198,0.17495322227478027,5,Intra 5 + Inter 2
0.13499117079680384,0.14173302717555197,0.27331813484600886,2.510218811881188,0.0006203473384423369,0.0006190728284923841,0.03186996699669953,0.05642580986022949,5,Intra 5 + Inter 3
0.09253091881149464,0.09609516907589502,0.23511656866706798,2.0238227722772275,0.18748579591397851,0.20028765935834214,0.5364155115511551,0.03812146186828613,5,Sühr et al. 2019
0.09980946950098894,0.10184320114731982,0.23347419686143292,2.201048514851485,0.032700277453199644,0.03234065552131499,0.2375673267326731,0.1232917308807373,5,Intra 5 + Inter 1
0.0867541692281946,0.08679269593962449,0.21331507652715806,2.049984158415842,0.006286468306943294,0.006249185478493735,0.10151699669967018,0.19162273406982422,5,Intra 5 + Inter 2
0.12809168770152501,0.1369363635197693,0.27990714954629364,2.3364871287128715,0.01799134805809527,0.01782919355508955,0.17975313531353154,0.05784177780151367,5,Intra 5 + Inter 3
0.0802788262337651,0.08037988890408079,0.21779827468804935,1.9884049504950494,0.019039595751570243,0.018864455587519507,0.19023894389438933,0.03813314437866211,5,Sühr et al. 2019
0.06471744330332527,0.06391559300700587,0.18680117611432312,1.7777069306930695,0.0004723524225560549,0.0004715009462661901,0.028574752475247545,0.16998815536499023,5,Intra 5 + Inter 1
0.08964369221135285,0.09432749597250213,0.22805858872792584,2.013726732673267,0.00010186602634133443,0.000101779035350422,0.013186963696369736,0.13201570510864258,5,Intra 5 + Inter 2
0.11402750325896656,0.11606963529779882,0.2502151388125918,2.4090811881188126,0.014918543823439046,0.014793094983000521,0.16516237623762364,0.06467437744140625,5,Intra 5 + Inter 3
