5,0.0305556
5,0.032765
5,0.0307433
5,0.0314885
5,0.029588
5,0.032988
5,0.0345235
5,0.0319258
5,0.034343
5,0.0311659
6,0.0317224
6,0.0328108
6,0.0339184
6,0.0312806
6,0.0351379
6,0.0311113
6,0.0322854
6,0.0316031
6,0.032221
6,0.0319432
7,0.0323371
7,0.0316667
7,0.0325868
7,0.0330707
7,0.0330074
7,0.0320023
7,0.0320348
7,0.0316508
7,0.0313995
7,0.032612
8,0.0310895
8,0.0323935
8,0.0331062
8,0.0323178
8,0.032155
8,0.032201
8,0.0318757
8,0.0333171
8,0.0311021
8,0.0324686
9,0.0322261
9,0.0326171
9,0.033254
9,0.0319799
9,0.0318929
9,0.0322622
9,0.0316377
9,0.0330973
9,0.0313795
9,0.0307992
10,0.0336058
10,0.0322025
10,0.0330248
10,0.0313529
10,0.0331029
10,0.0334543
10,0.0322643
10,0.0323549
10,0.0332781
10,0.0327023
11,0.0354899
11,0.0334021
11,0.034788
11,0.0324504
11,0.0333447
11,0.0332028
11,0.0321755
11,0.0373706
11,0.0337921
11,0.0336417
12,0.0370688
12,0.0348807
12,0.0440302
12,0.0337362
12,0.0340211
12,0.0343847
12,0.0331768
12,0.0334629
12,0.0337177
12,0.0365849
13,0.0366566
13,0.0343235
13,0.0345146
13,0.035167
13,0.0391781
13,0.0342038
13,0.0334587
13,0.0343409
13,0.0384652
13,0.0359268
14,0.033051
14,0.033847
14,0.0339925
14,0.0344539
14,0.0351745
14,0.0341207
14,0.0329263
14,0.0341812
14,0.032795
14,0.034138
