size,runtime
12.0,0.27
13.0,0.35
14.0,1.49
15.0,3.9
12.0,0.16
13.0,0.46
14.0,1.43
15.0,4.26
12.0,0.22
13.0,0.51
14.0,1.65
15.0,2.42
12.0,0.26
13.0,0.48
14.0,3.94
15.0,2.63
12.0,0.21
13.0,0.37
14.0,1.63
15.0,4.05
