size,runtime
12.0,0.31
13.0,0.66
14.0,1.66
15.0,3.75
12.0,0.2
13.0,0.44
14.0,1.08
15.0,6.52
12.0,0.29
13.0,0.65
14.0,2.36
15.0,3.32
12.0,0.31
13.0,0.71
14.0,4.43
15.0,6.58
12.0,0.27
13.0,0.52
14.0,1.26
15.0,7.95
