Intra_Fair2,Intra_Fair3,Intra_Fair4,Inter_Fair1,Inter_Fair2,Inter_Fair3,Customer_Care,lam1,lam2,lam3
8.063568284836249e-5,8.073889528714372e-5,0.007062774039938727,1.5687021756215713e-9,1.5687021541442039e-9,0.0016376722723059345,5.857250073856835,0.5,0.5,0.0
9.848063190242944e-5,9.87324108737541e-5,0.007842638773522835,2.184202252739206e-9,2.184202761135157e-9,0.0019480591629097432,5.605626574816027,0.5,0.5,0.0
6.110338140548032e-5,6.11034121712547e-5,0.006301966653161613,8.558923081229165e-9,8.55892297501801e-9,0.003824846484128841,5.864290232325367,0.5,0.5,0.0
6.770678506666656e-5,6.771306461490022e-5,0.006420282869570432,9.141765955602492e-9,9.141765732216187e-9,0.003948611945951086,5.8941367773008695,0.5,0.5,0.0
0.00010009636122190785,0.00010020183954378296,0.008050263519085952,3.600760203936374e-10,3.600764169439701e-10,0.0007803955696825682,6.029526399605893,0.5,0.5,0.0
7.566505749271197e-5,7.523017559138245e-5,0.006317156687433039,3.130708074651923e-8,3.130708171476598e-8,0.007194995552866956,6.258041667170794,0.6,0.4,0.0
7.679280269757253e-5,7.678828629753238e-5,0.006861161380795255,1.9722422027399205e-10,1.972249751514487e-10,0.000574285159567367,6.087617117984749,0.6,0.4,0.0
6.998968512121253e-5,6.990695957407641e-5,0.006723941607489667,6.261812549226552e-9,6.261812538642028e-9,0.0032485903396111127,5.961142198030618,0.6,0.4,0.0
9.547359613689068e-5,9.555895201292334e-5,0.007821631451897453,1.5710037560166183e-8,1.5710038044696134e-8,0.005182703929254018,5.729356118313179,0.6,0.4,0.0
0.00011104564755288014,0.00011088345365282745,0.008437541407927063,3.002071637125698e-9,3.0020722431201735e-9,0.0022564836132730193,5.861608812934342,0.6,0.4,0.0
0.00015374797177204882,0.00015381021135288153,0.009986237274448865,5.11145316444393e-9,5.11145289861111e-9,0.0029383034868359914,5.799156439110304,0.7,0.30000000000000004,0.0
6.82035851413701e-5,6.83361476561466e-5,0.006439994696611915,7.587045796491904e-8,7.58704621128055e-8,0.011144386233729264,6.298116421890476,0.7,0.30000000000000004,0.0
6.20935420113147e-5,6.196022240136274e-5,0.006202943003824215,3.3268479269886074e-7,3.3268486667874545e-7,0.023803262252137358,5.666079565003879,0.7,0.30000000000000004,0.0
