trip_distance
0.72
1.86
2.04
0.81
0.82
1.66
0.57
11.2
1.02
2.6
3.53
0.84
21.47
0.95
1.04
1.42
0.93
5.96
2.5
0.6
1.0
1.19
0.48
2.55
1.15
2.77
1.4
0.57
10.32
17.87
0.77
1.42
2.34
1.13
1.2
1.38
0.83
3.51
2.52
2.63
1.2
3.3
2.0
1.7
1.5
9.3
0.71
7.25
2.2
0.4
2.0
0.6
2.6
1.0
9.56
7.29
2.0
3.0
5.7
1.7
0.9
1.8
18.9
9.66
2.51
0.4
0.7
1.4
2.65
1.56
16.97
0.98
2.45
9.36
0.11
0.9
3.84
2.44
1.52
0.5
1.47
2.4
1.94
6.2
0.71
1.19
0.94
0.24
0.92
4.1
1.17
1.51
0.76
1.54
0.48
20.1
11.94
0.4
0.2
0.3
0.0
2.68
0.7
1.1
0.3
0.7
0.41
0.91
0.8
1.8
0.8
1.8
4.87
9.0
0.5
0.85
1.37
5.4
1.54
9.04
0.74
1.14
2.51
11.39
7.4
2.5
3.6
0.91
10.59
0.61
1.48
2.15
1.0
14.7
0.9
2.3
2.8
0.4
17.2
2.0
2.0
1.34
0.93
0.63
0.48
1.65
0.6
1.3
0.5
1.8
1.62
0.59
0.73
1.14
0.8
1.8
1.1
1.2
1.8
1.54
0.63
1.8
0.4
1.33
0.26
0.81
0.61
0.37
0.64
2.15
3.96
1.6
6.0
6.59
1.04
4.64
2.5
0.7
0.88
2.48
0.84
1.3
1.05
2.47
1.17
0.81
1.56
19.4
1.6
0.3
1.42
0.45
0.52
1.71
1.23
0.58
0.51
0.63
2.45
0.91
0.28
1.11
22.36
0.92
3.09
0.89
12.53
4.1
1.71
9.29
1.18
3.03
0.62
0.0
0.0
0.78
7.99
1.7
1.6
3.6
11.59
1.75
1.48
0.66
1.56
0.65
0.99
1.85
2.24
17.67
3.67
4.79
12.92
1.2
0.6
1.8
1.04
0.78
2.85
0.6
3.5
7.2
5.99
1.2
0.5
10.23
2.64
2.4
3.0
1.1
1.0
3.29
0.84
1.24
1.2
1.81
1.1
1.4
2.0
4.3
3.65
0.83
0.97
1.76
7.97
1.5
1.79
1.98
0.95
0.08
11.45
7.65
4.28
1.07
0.41
14.63
1.91
1.23
0.55
0.93
1.92
1.22
1.66
2.53
2.7
19.02
1.6
1.3
1.85
16.66
3.66
1.57
1.47
0.9
0.6
0.4
0.3
1.6
1.1
1.3
1.8
1.9
1.4
0.42
1.28
1.08
1.0
9.7
0.42
1.48
1.26
1.75
0.56
2.96
1.2
1.5
0.9
0.6
8.8
0.6
3.4
1.0
2.3
2.3
7.0
0.8
2.0
2.9
8.2
0.6
2.4
0.3
1.0
2.5
2.2
4.15
1.47
0.62
0.96
8.18
0.5
1.6
21.1
1.46
1.28
0.9
3.6
2.8
11.17
4.74
0.87
1.0
2.5
1.2
0.8
12.8
0.6
4.1
1.75
17.19
3.01
0.85
1.7
2.64
1.12
2.39
1.3
0.9
0.4
4.38
8.5
14.7
0.85
1.42
2.9
0.6
0.3
2.0
5.3
1.65
1.51
1.39
0.86
1.27
0.93
2.43
2.76
0.47
3.7
8.85
10.9
2.0
0.7
0.9
1.3
1.06
1.12
5.59
0.59
1.88
1.12
0.5
2.8
0.7
1.0
1.9
1.0
1.0
2.0
0.4
13.1
16.93
4.3
0.52
1.02
2.86
5.75
1.6
1.8
1.45
15.7
7.0
0.57
0.77
2.34
0.85
1.67
0.62
11.99
2.04
1.76
1.05
1.1
1.1
1.3
0.6
0.8
0.6
2.6
1.5
2.5
0.6
1.38
1.1
3.2
2.25
1.01
2.06
1.9
0.6
0.6
1.7
1.3
1.4
1.7
2.1
0.5
0.5
6.2
1.56
0.76
0.72
1.0
1.1
2.6
0.7
0.9
1.8
1.39
1.67
0.44
0.84
1.13
0.73
13.13
1.93
0.34
0.81
11.8
1.49
1.58
3.03
9.18
0.87
0.63
1.89
1.43
0.75
1.78
1.9
1.3
0.3
0.7
1.88
11.7
3.52
1.44
2.1
1.6
0.6
1.6
0.0
1.8
0.2
4.29
4.57
1.6
1.19
1.57
0.9
2.5
2.59
1.34
1.0
3.3
0.7
2.8
1.6
3.5
2.6
12.0
0.67
0.94
4.09
4.78
18.4
0.7
0.7
1.8
0.87
9.24
1.61
0.75
0.81
12.28
1.57
1.21
1.1
2.09
2.39
1.5
1.3
3.2
2.23
1.5
0.52
1.7
1.0
1.35
1.44
8.23
2.04
1.88
1.08
1.67
12.68
1.5
0.6
1.2
2.4
0.1
0.9
0.2
8.1
17.5
1.8
1.9
0.6
1.73
1.41
0.77
4.01
1.43
0.6
1.4
1.0
1.4
2.21
1.88
1.14
1.18
1.87
15.0
2.5
2.1
6.8
21.0
0.8
0.7
1.0
1.5
0.69
0.66
1.1
1.8
0.68
0.68
1.35
1.34
2.1
1.1
1.0
1.31
1.86
1.6
1.1
0.4
2.2
1.6
0.8
0.7
1.9
1.8
3.3
0.7
1.4
1.1
0.8
1.29
1.3
18.41
2.05
2.35
0.66
0.85
10.7
0.45
0.88
1.88
3.13
1.6
0.9
1.4
1.9
0.43
9.1
0.8
1.3
2.8
0.6
3.42
1.42
1.24
0.19
0.92
3.42
2.55
1.66
1.6
1.5
8.95
0.82
3.17
0.8
1.2
0.3
0.6
0.7
0.7
3.4
3.75
0.83
7.89
0.82
1.13
1.01
0.71
0.51
0.88
1.6
1.28
1.44
1.24
1.13
1.78
8.29
1.11
4.02
5.27
1.2
0.02
0.42
0.37
2.26
0.78
6.46
7.08
